date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards
2024-03-31T16:00:00+00:00,2024,Eliteserien,Norway,ODD Ballklubb,1,2,Haugesund,Match Finished,10,3,2,3,,
2024-04-01T12:30:00+00:00,2024,Eliteserien,Norway,Fredrikstad,0,2,Bodo/Glimt,Match Finished,1,5,2,1,,
2024-04-01T15:00:00+00:00,2024,Eliteserien,Norway,Molde,4,0,Stromsgodset,Match Finished,3,5,2,1,,
2024-04-01T15:00:00+00:00,2024,Eliteserien,Norway,Tromso,2,4,Brann,Match Finished,6,9,3,1,1,0
2024-04-01T15:00:00+00:00,2024,Eliteserien,Norway,Lillestrom,2,3,Kristiansund BK,Match Finished,11,2,0,2,,
2024-04-01T15:00:00+00:00,2024,Eliteserien,Norway,Rosenborg,2,0,Sandefjord,Match Finished,3,1,3,2,,
2024-04-01T17:15:00+00:00,2024,Eliteserien,Norway,Viking,1,0,Sarpsborg 08 FF,Match Finished,4,7,2,1,,
2024-04-02T17:00:00+00:00,2024,Eliteserien,Norway,KFUM Oslo,1,1,Ham-Kam,Match Finished,6,3,1,4,,
2024-04-06T16:00:00+00:00,2024,Eliteserien,Norway,Bodo/Glimt,1,0,Viking,Match Finished,7,8,2,2,,
2024-04-07T12:30:00+00:00,2024,Eliteserien,Norway,Kristiansund BK,1,1,KFUM Oslo,Match Finished,3,6,1,3,,
